COMPANY NAME,COMPANY ADDRESS,TIN,NAM SALES
LITTELFUSE ASIA SALES B.V.,"LIMA TECHNOLOGY CENTER, SPECIAL ECONOMIC ZONE, BRGY. SANTIAGO, MALVAR, BATANGAS, 4233, PHILIPPINES",010-371-721-00000,HANNAH
NAM BUILDERS AND SUPPLY CORP,,,HANNAH
ALM MANAGEMENT SERVICES CORP,,,HANNAH
MINEBEA PHILIPPINES INC,"FIRST PHILIPPINE INDUSTRIAL PARK, BRGY. STA. ANASTACIA, STO. TOMAS, BATANGAS 4234, PHILIPPINES",,HANNAH
SUMOPAK INDSTRIAL CORPORATION,"LIMA TECHNOLOGY CENTER, LIPA CITY, BATANGAS",,ANN
"K & K MOLDING, INC","LIMA TECHNOLOGY CENTER, MALVAAR, BATANGAS",,ANN
G-SHANK PHILIPPINES CORP,"LIMA TECHNOLOGY CENTER, LIPA CITY, BATANGAS",,ANN
LIMA ESTATE SUPPLY CHAIN ORGANIZATION,"LIMA ESTATE LIPA-MALVAR, BATANGAS, PHILIPPINES",,ANN
JTEKT PHILIPPINES CORPORATION,"LIMA TECHNOLOGY CENTER, BRGY. SANTIAGO, MALVAR, BATANGAS",,ANN
LORENZANA FOOD CORPORATION,"LOT 6720, BRGY. SAN JOAQUIN, STO. TOMAS, BATANGAS, PHILIPPINES",,ANN
LEADEN PHILIPPINES INC,"LIMA TECHNOLOGY CENTER, BRGY. SAN LUCAS, LIPA CITY, BATANGAS",,ANN
FLEXI COMPONENT INC,"FILINVEST TECHNOLOGY PARK, CALAMBA CITY, LAGUNA, 4027, PHILIPPINES",,ANN
CPO ELECTRONICS PHILIPPINES INC,"LIMA TECHNOLOGY CENTER, LIPA CITY, BATANGAS",,ANN
GRANDSUN ADVANCED ELECTRONICS (PHILIPPINES) COMPANY INCORPORATED,,,CHERRY / GLENDA
