 DATE,S/N,PO NUMBER,COMPANY,CATEGORY,ITEM,QUANTITY REQUESTED,SUPPLIER'S PRICE,TOTAL ACTUAL AMOUNT,NAM UNIT PRICE,TOTAL NAM AMOUNT,TOTAL NAM AMOUNT SUB TOTAL,INCOME,INCOME PERCENT,,DATE DELIVERED,PAYMENT TERM,DUE DATE,SI NUMBER, REMARKS,SUPPLIER,ADDRESS,TIN,SALES INVOICE NO.,CONTACT PERSON/CONTACT #
01/15/2026,029,P-260000054-O1,EZCONN,CLEANING MATERIALS,ROBOTIC CLEANER,3," ₱ 29,999.00 "," ₱ 89,997.00 "," ₱ 32,944.00 "," ₱ 98,832.00 ",," ₱ 8,835.00 ",9%,,,,,,,,,,,
,,,,,,,,,,," ₱ 98,832.00 ",,,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,BALLPEN FLEXSTICK 0.5MM BLACK,66, ₱ 4.00 , ₱ 264.00 , ₱ 6.06 , ₱ 399.96 ,, ₱ 135.96 ,34%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,BALLPEN FLEXSTICK 0.5MM RED,5, ₱ 4.00 , ₱ 20.00 , ₱ 6.06 , ₱ 30.30 ,, ₱ 10.30 ,34%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,BINDER CLIP 2,2, ₱ 58.00 , ₱ 116.00 , ₱ 68.75 , ₱ 137.50 ,, ₱ 21.50 ,16%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,BINDER CLIP 1,2, ₱ 17.00 , ₱ 34.00 , ₱ 22.40 , ₱ 44.80 ,, ₱ 10.80 ,24%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,BINDER CLIP 1 1/4,2, ₱ 24.00 , ₱ 48.00 , ₱ 30.80 , ₱ 61.60 ,, ₱ 13.60 ,22%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,DONG A MY GEL 0.3 BLACK,34, ₱ 19.00 , ₱ 646.00 , ₱ 24.00 , ₱ 816.00 ,, ₱ 170.00 ,21%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,DONG A MY GEL 0.5 RED,4, ₱ 17.50 , ₱ 70.00 , ₱ 24.00 , ₱ 96.00 ,, ₱ 26.00 ,27%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,LONG WHITE FOLDER,13, ₱ 3.80 , ₱ 49.40 , ₱ 5.13 , ₱ 66.69 ,, ₱ 17.29 ,26%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,FABER CASTEL HIGHLIGHTER (YELLOW GREEN),10, ₱ 23.00 , ₱ 230.00 , ₱ 28.60 , ₱ 286.00 ,, ₱ 56.00 ,20%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,FABER CASTEL HIGHLIGHTER (NEON GREEN),1, ₱ 23.00 , ₱ 23.00 , ₱ 28.60 , ₱ 28.60 ,, ₱ 5.60 ,20%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,OFFICE SUPPLY,STAPLER WITH REMOVER,2, ₱ 77.00 , ₱ 154.00 , ₱ 103.95 , ₱ 207.90 ,, ₱ 53.90 ,26%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,CLEANING MATERIALS,DETERGENT POWDER 1 KG,5, ₱ 45.00 , ₱ 225.00 , ₱ 64.80 , ₱ 324.00 ,, ₱ 99.00 ,31%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,CLEANING MATERIALS,TRASH BAG XX-LARGE 100'S BLACK,10, ₱ 460.00 ," ₱ 4,600.00 ", ₱ 575.00 ," ₱ 5,750.00 ",," ₱ 1,150.00 ",20%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,CONSUMABLES,ZIPLOCK NO. 1,3, ₱ 25.00 , ₱ 75.00 , ₱ 33.25 , ₱ 99.75 ,, ₱ 24.75 ,25%,,,,,,,,,,,
01/15/2026,030,MPO-2026-01-028,YAHORNG,CONSUMABLES,ZIPLOCK NO. 5,3, ₱ 70.00 , ₱ 210.00 , ₱ 93.10 , ₱ 279.30 ,, ₱ 69.30 ,25%,,,,,,,,,,,
,,,,,,,,,,," ₱ 8,628.40 ",,,,,,,,,,,,,
01/16/2026,031,SLP-NAM-26-006,ENSLP,CLEANING MATERIALS,GARBAGE BAG XL BLACK,2, ₱ 220.00 , ₱ 440.00 , ₱ 557.00 ," ₱ 1,114.00 ",, ₱ 674.00 ,61%,,,,,,,,,,,
01/16/2026,031,SLP-NAM-26-006,ENSLP,CLEANING MATERIALS,ROUND RAG COLORED,8, ₱ 52.00 , ₱ 416.00 , ₱ 82.00 , ₱ 656.00 ,, ₱ 240.00 ,37%,,,,,,,,,,,
01/16/2026,031,SLP-NAM-26-006,ENSLP,OFFICE SUPPLY,PILOT WHITE BOARD MARKER BLUE,10, ₱ 50.00 , ₱ 500.00 , ₱ 57.60 , ₱ 576.00 ,, ₱ 76.00 ,13%,,,,,,,,,,,
01/16/2026,031,SLP-NAM-26-006,ENSLP,OFFICE SUPPLY,SDI CUTTER BLADE,1, ₱ 279.00 , ₱ 279.00 , ₱ 380.00 , ₱ 380.00 ,, ₱ 101.00 ,27%,,,,,,,,,,,
01/16/2026,031,SLP-NAM-26-006,ENSLP,OFFICE SUPPLY,CLEARSHEET,3, ₱ 130.00 , ₱ 390.00 , ₱ 220.00 , ₱ 660.00 ,, ₱ 270.00 ,41%,,,,,,,,,,,
01/16/2026,031,SLP-NAM-26-006,ENSLP,OFFICE SUPPLY,CUTTER,5, ₱ 24.00 , ₱ 120.00 , ₱ 50.00 , ₱ 250.00 ,, ₱ 130.00 ,52%,,,,,,,,,,,
,,,,,,,,,,," ₱ 3,636.00 ",,,,,,,,,,,,,
01/16/2026,032,OPEN PO,ITC,OFFICE FURNITURE & FIXTURES,CHILLER FUJIDENSO ISU143A3,1," ₱ 31,000.00 "," ₱ 31,000.00 "," ₱ 38,562.40 "," ₱ 38,562.40 ",," ₱ 7,562.40 ",20%,,,,,,,,,,,
,,,,,,,,,,," ₱ 38,562.40 ",,,,,,,,,,,,,
01/16/2026,033,OPEN PO,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,CUTTING DISC 4'' X 1MM,20, ₱ 49.75 , ₱ 995.00 , ₱ 64.68 ," ₱ 1,293.60 ",, ₱ 298.60 ,23%,,,,,,,,,,,
,,,,,,,,,,," ₱ 1,293.60 ",,,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,BALLPEN MATRIX BLACK,15, ₱ 4.20 , ₱ 63.00 , ₱ 5.25 , ₱ 78.75 ,, ₱ 15.75 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,SCISSORS,1, ₱ 26.00 , ₱ 26.00 , ₱ 32.50 , ₱ 32.50 ,, ₱ 6.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,BALLPEN MATRIX BLACK,10, ₱ 4.20 , ₱ 42.00 , ₱ 5.25 , ₱ 52.50 ,, ₱ 10.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,SCISSORS,2, ₱ 26.00 , ₱ 52.00 , ₱ 32.50 , ₱ 65.00 ,, ₱ 13.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,CLEANING MATERIALS,PUMP BOTTLE,2, ₱ 35.00 , ₱ 70.00 , ₱ 43.75 , ₱ 87.50 ,, ₱ 17.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,STAPLER,1, ₱ 60.00 , ₱ 60.00 , ₱ 75.00 , ₱ 75.00 ,, ₱ 15.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,STAMP INK RED,2, ₱ 17.00 , ₱ 34.00 , ₱ 21.25 , ₱ 42.50 ,, ₱ 8.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,STAMP INK BLACK,2, ₱ 20.00 , ₱ 40.00 , ₱ 25.00 , ₱ 50.00 ,, ₱ 10.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,L-TYPE A4 SIZE,2, ₱ 48.00 , ₱ 96.00 , ₱ 60.00 , ₱ 120.00 ,, ₱ 24.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,CLEANING MATERIALS,TABO,1, ₱ 25.00 , ₱ 25.00 , ₱ 31.25 , ₱ 31.25 ,, ₱ 6.25 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,CLEANING MATERIALS,DUST PAN,1, ₱ 80.00 , ₱ 80.00 , ₱ 100.00 , ₱ 100.00 ,, ₱ 20.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,BALLPEN MATRIX BLACK,10, ₱ 4.20 , ₱ 42.00 , ₱ 5.25 , ₱ 52.50 ,, ₱ 10.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,L-TYPE A4 SIZE,2, ₱ 48.00 , ₱ 96.00 , ₱ 60.00 , ₱ 120.00 ,, ₱ 24.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE TOOLS AND EQUIPMENT,3 - LAYER DRAWER WITH LOCK,1, ₱ 800.00 , ₱ 800.00 ," ₱ 1,000.00 "," ₱ 1,000.00 ",, ₱ 200.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,PENCIL MONGOL #2,1, ₱ 96.00 , ₱ 96.00 , ₱ 120.00 , ₱ 120.00 ,, ₱ 24.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,ERASER,4, ₱ 20.00 , ₱ 80.00 , ₱ 25.00 , ₱ 100.00 ,, ₱ 20.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,STICKY NOTES,2, ₱ 20.00 , ₱ 40.00 , ₱ 106.00 , ₱ 212.00 ,, ₱ 172.00 ,81%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,SCISSORS,2, ₱ 26.00 , ₱ 52.00 , ₱ 32.50 , ₱ 65.00 ,, ₱ 13.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,VINYL COATED CLIPS,3, ₱ 10.00 , ₱ 30.00 , ₱ 12.50 , ₱ 37.50 ,, ₱ 7.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,BINDER CLIP LARGE,1, ₱ 55.00 , ₱ 55.00 , ₱ 68.75 , ₱ 68.75 ,, ₱ 13.75 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,BINDER CLIP MEDIUM,1, ₱ 22.00 , ₱ 22.00 , ₱ 27.50 , ₱ 27.50 ,, ₱ 5.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,BINDER CLIP SMALL,1, ₱ 16.00 , ₱ 16.00 , ₱ 20.00 , ₱ 20.00 ,, ₱ 4.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,TAPE DISPENSER,1, ₱ 77.00 , ₱ 77.00 , ₱ 96.25 , ₱ 96.25 ,, ₱ 19.25 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,L-TYPE A4 SIZE,1, ₱ 48.00 , ₱ 48.00 , ₱ 60.00 , ₱ 60.00 ,, ₱ 12.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,EPSON INK 003 BLACK,2, ₱ 295.00 , ₱ 590.00 , ₱ 360.00 , ₱ 720.00 ,, ₱ 130.00 ,18%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,EPSON INK 003 MAGENTA,2, ₱ 305.00 , ₱ 610.00 , ₱ 360.00 , ₱ 720.00 ,, ₱ 110.00 ,15%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,EPSON INK 003 YELLOW,1, ₱ 305.00 , ₱ 305.00 , ₱ 360.00 , ₱ 360.00 ,, ₱ 55.00 ,15%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,EPSON INK 003 CYAN,2, ₱ 305.00 , ₱ 610.00 , ₱ 360.00 , ₱ 720.00 ,, ₱ 110.00 ,15%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,SCISSORS BLACK,1, ₱ 26.00 , ₱ 26.00 , ₱ 32.50 , ₱ 32.50 ,, ₱ 6.50 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,FILE ORGANIZER BOX,1, ₱ 200.00 , ₱ 200.00 , ₱ 250.00 , ₱ 250.00 ,, ₱ 50.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,BALLPEN MATRIX BLACK,15, ₱ 4.20 , ₱ 63.00 , ₱ 5.25 , ₱ 78.75 ,, ₱ 15.75 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,SCISSOR BLACK,2, ₱ 26.00 , ₱ 52.00 , ₱ 32.50 , ₱ 65.00 ,, ₱ 13.00 ,20%,,,,,,,,,,,
01/16/2026,034,PH-P20260116-0025,T.E OPTOELECTRONICS,OFFICE SUPPLY,TAPE DISPENSER,2, ₱ 77.00 , ₱ 154.00 , ₱ 96.25 , ₱ 192.50 ,, ₱ 38.50 ,20%,,,,,,,,,,,
,,,,,,,,,,," ₱ 5,853.25 ",,,,,,,,,,,,,
01/16/2026,035,PH-P2026115-0023,T.E OPTOELECTRONICS,CONSUMABLES,STRETCHFILM 20 500MM X 300MM,50, ₱ 180.00 ," ₱ 9,000.00 ", ₱ 265.00 ," ₱ 13,250.00 ",," ₱ 4,250.00 ",32%,,,,,,,,,,,
01/16/2026,035,PH-P2026115-0023,T.E OPTOELECTRONICS,CONSUMABLES,STRETCHFILM 20 500MM X 300MM,50, ₱ 180.00 ," ₱ 9,000.00 ", ₱ 265.00 ," ₱ 13,250.00 ",," ₱ 4,250.00 ",32%,,,,,,,,,,,
,,,,,,,,,,," ₱ 26,500.00 ",,,,,,,,,,,,,
01/17/2026,036,,SORGEN BUILDERS,MATERIALS,DEFORMED BAR - 12MM,84, ₱ 190.00 ," ₱ 15,960.00 ", ₱ 266.00 ," ₱ 22,344.00 ",," ₱ 6,384.00 ",29%,,,,,,,,,,,
01/17/2026,036,,SORGEN BUILDERS,MATERIALS,PLYWOOD ORDINARY SINGLE PHASE 1/4,14, ₱ 310.00 ," ₱ 4,340.00 ", ₱ 434.00 ," ₱ 6,076.00 ",," ₱ 1,736.00 ",29%,,,,,,,,,,,
01/17/2026,036,,SORGEN BUILDERS,MATERIALS,G.I WIRE #16,1, ₱ 100.00 , ₱ 100.00 , ₱ 112.00 , ₱ 112.00 ,, ₱ 12.00 ,11%,,,,,,,,,,,
01/17/2026,036,,SORGEN BUILDERS,MATERIALS,WELDING ROD,2, ₱ 250.00 , ₱ 500.00 , ₱ 350.00 , ₱ 700.00 ,, ₱ 200.00 ,29%,,,,,,,,,,,
01/17/2026,036,,SORGEN BUILDERS,MATERIALS,CUT OF WHEEL,1, ₱ 350.00 , ₱ 350.00 , ₱ 476.00 , ₱ 476.00 ,, ₱ 126.00 ,26%,,,,,,,,,,,
01/17/2026,036,,SORGEN BUILDERS,MATERIALS,"PVC PIPE ORANGE - 4""",1, ₱ 720.00 , ₱ 720.00 ," ₱ 1,008.00 "," ₱ 1,008.00 ",, ₱ 288.00 ,29%,,,,,,,,,,,
,,,,,,,,,,," ₱ 30,716.00 ",,,,,,,,,,,,,
01/19/2026,037,ADMNPO-2026-001-045,COVAC,OFFICE SUPPLY,CLUB CARBON PAPER (LONG),1, ₱ 520.00 , ₱ 520.00 , ₱ 793.80 , ₱ 793.80 ,, ₱ 273.80 ,34%,,,,,,,,,,,
01/19/2026,037,ADMNPO-2026-001-045,COVAC,OFFICE SUPPLY,COATED CLIPS NO. 33,1, ₱ 8.00 , ₱ 8.00 , ₱ 12.15 , ₱ 12.15 ,, ₱ 4.15 ,34%,,,,,,,,,,,
01/19/2026,037,ADMNPO-2026-001-045,COVAC,OFFICE SUPPLY,STAPLE WIRE NO. 35 TIGER,2, ₱ 22.00 , ₱ 44.00 , ₱ 32.40 , ₱ 64.80 ,, ₱ 20.80 ,32%,,,,,,,,,,,
01/19/2026,037,ADMNPO-2026-001-045,COVAC,OFFICE SUPPLY,PILOT BROAD MARKER,1, ₱ 30.00 , ₱ 30.00 , ₱ 40.00 , ₱ 40.00 ,, ₱ 10.00 ,25%,,,,,,,,,,,
01/19/2026,037,ADMNPO-2026-001-045,COVAC,OFFICE SUPPLY,STAMP PAD INK (RED),1, ₱ 17.00 , ₱ 17.00 , ₱ 22.95 , ₱ 22.95 ,, ₱ 5.95 ,26%,,,,,,,,,,,
,,,,,,,,,,, ₱ 933.70 ,,,,,,,,,,,,,
01/19/2026,038,ADMNPO-2026-001-047,COVAC,OFFICE SUPPLY,SCOTCH TAPE 1,1, ₱ 15.00 , ₱ 15.00 , ₱ 20.25 , ₱ 20.25 ,, ₱ 5.25 ,26%,,,,,,,,,,,
01/19/2026,038,ADMNPO-2026-001-047,COVAC,OFFICE SUPPLY,STAMP PAD INK (BLUE),1, ₱ 17.00 , ₱ 17.00 , ₱ 22.95 , ₱ 22.95 ,, ₱ 5.95 ,26%,,,,,,,,,,,
01/19/2026,038,ADMNPO-2026-001-047,COVAC,OFFICE SUPPLY,PUNCHER BIG 2 HOLE,1, ₱ 229.50 , ₱ 229.50 , ₱ 378.00 , ₱ 378.00 ,, ₱ 148.50 ,39%,,,,,,,,,,,
,,,,,,,,,,, ₱ 421.20 ,,,,,,,,,,,,,
01/19/2026,039,ADMNPO-2026-001-048,COVAC,OFFICE SUPPLY,A4 BOND PAPER HARDCOPY,5, ₱ 154.00 , ₱ 770.00 , ₱ 205.00 ," ₱ 1,025.00 ",, ₱ 255.00 ,25%,,,,,,,,,,,
,,,,,,,,,,," ₱ 1,025.00 ",,,,,,,,,,,,,
01/19/2026,040,ADMNPO-2026-001-048,COVAC,OFFICE SUPPLY,A4 BOND PAPER HARDCOPY,5, ₱ 154.00 , ₱ 770.00 , ₱ 205.00 ," ₱ 1,025.00 ",, ₱ 255.00 ,25%,,,,,,,,,,,
01/19/2026,040,ADMNPO-2026-001-048,COVAC,OFFICE SUPPLY,SHORT BROWN ENVELOPE,10, ₱ 1.30 , ₱ 13.00 , ₱ 2.57 , ₱ 25.70 ,, ₱ 12.70 ,49%,,,,,,,,,,,
01/19/2026,040,ADMNPO-2026-001-048,COVAC,OFFICE SUPPLY,COATED CLIPS NO. 33,2, ₱ 8.00 , ₱ 16.00 , ₱ 12.15 , ₱ 24.30 ,, ₱ 8.30 ,34%,,,,,,,,,,,
01/19/2026,040,ADMNPO-2026-001-048,COVAC,OFFICE SUPPLY,STAPLE WIRE NO. 35 TIGER,2, ₱ 22.00 , ₱ 44.00 , ₱ 32.40 , ₱ 64.80 ,, ₱ 20.80 ,32%,,,,,,,,,,,
01/19/2026,040,ADMNPO-2026-001-048,COVAC,OFFICE SUPPLY,WHITEBOARD MARKER (BLACK),3, ₱ 20.00 , ₱ 60.00 , ₱ 28.35 , ₱ 85.05 ,, ₱ 25.05 ,29%,,,,,,,,,,,
01/19/2026,040,ADMNPO-2026-001-048,COVAC,OFFICE SUPPLY,SCOTCH TAPE 1,5, ₱ 15.00 , ₱ 75.00 , ₱ 20.25 , ₱ 101.25 ,, ₱ 26.25 ,26%,,,,,,,,,,,
,,,,,,,,,,," ₱ 1,326.10 ",,,,,,,,,,,,,
01/20/2026,041,2026-00027,ASTI,PPE,SPRINTER SHOES SIZE 37,2, ₱ 220.00 , ₱ 440.00 , ₱ 281.00 , ₱ 562.00 ,, ₱ 122.00 ,22%,,,,,,,,,,,
01/20/2026,041,2026-00027,ASTI,PPE,SPRINTER SHOES SIZE 38,2, ₱ 220.00 , ₱ 440.00 , ₱ 281.00 , ₱ 562.00 ,, ₱ 122.00 ,22%,,,,,,,,,,,
01/20/2026,041,2026-00027,ASTI,PPE,SPRINTER SHOES SIZE 39,2, ₱ 220.00 , ₱ 440.00 , ₱ 281.00 , ₱ 562.00 ,, ₱ 122.00 ,22%,,,,,,,,,,,
01/20/2026,041,2026-00027,ASTI,PPE,SPRINTER SHOES SIZE 40,2, ₱ 220.00 , ₱ 440.00 , ₱ 281.00 , ₱ 562.00 ,, ₱ 122.00 ,22%,,,,,,,,,,,
01/20/2026,041,2026-00027,ASTI,PPE,SPRINTER SHOES SIZE 41,2, ₱ 220.00 , ₱ 440.00 , ₱ 281.00 , ₱ 562.00 ,, ₱ 122.00 ,22%,,,,,,,,,,,
,,,,,,,,,,," ₱ 2,810.00 ",,,,,,,,,,,,,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,VUNGUARD (1 LITER),4, ₱ 90.00 , ₱ 360.00 , ₱ 150.00 , ₱ 600.00 ,, ₱ 240.00 ,40%,,,,,,,,,,,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,SAFEWELL 70%,3, ₱ 220.00 , ₱ 660.00 , ₱ 247.00 , ₱ 741.00 ,, ₱ 81.00 ,11%,,,,,,,,,,,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,JOY DISHWASHING LIQUID KALAMANSI 475ML,3, ₱ 109.00 , ₱ 327.00 , ₱ 161.25 , ₱ 483.75 ,, ₱ 156.75 ,32%,,,,,,,WRAP & CARRY,TANAUAN,137-827-797-00000,1555346,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,ZONROX BLEACH COLORSAFE BLOSSOM FRESH 1000ml,4, ₱ 275.00 ," ₱ 1,100.00 ", ₱ 321.25 ," ₱ 1,285.00 ",, ₱ 185.00 ,14%,,,,,,,WRAP & CARRY,TANAUAN,137-827-797-00001,1555451,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,ZONROX BLEACH ORIGINAL 1000ml,3, ₱ 253.00 , ₱ 759.00 , ₱ 321.25 , ₱ 963.75 ,, ₱ 204.75 ,21%,,,,,,,WRAP & CARRY,TANAUAN,137-827-797-00002,1555451,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,MOP WITH HANDLE,4, ₱ 107.00 , ₱ 428.00 , ₱ 125.00 , ₱ 500.00 ,, ₱ 72.00 ,14%,,,,,,,LAM GENERAL MERCH. INC,TANAUAN,776-131-264-00003,9702/0168125,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,SOFT BROOM BAGUIO,4, ₱ 180.00 , ₱ 720.00 , ₱ 287.50 ," ₱ 1,150.00 ",, ₱ 430.00 ,37%,,,,,,,LAM GENERAL MERCH. INC,TANAUAN,776-131-264-00003,9704/0224730,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,TOILET BRUSH,2, ₱ 75.00 , ₱ 150.00 , ₱ 125.00 , ₱ 250.00 ,, ₱ 100.00 ,40%,,,,,,,LAM GENERAL MERCH. INC,TANAUAN,776-131-264-00003,9704/0224730,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,GLADE AIR FRESHENER SCENTED GEL  180G,3, ₱ 108.95 , ₱ 326.85 , ₱ 215.50 , ₱ 646.50 ,, ₱ 319.65 ,49%,,,,,,,,,,,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,PRIDE DETERGENT POWDER POWER WASH 1KG,3, ₱ 98.50 , ₱ 295.50 , ₱ 122.50 , ₱ 367.50 ,, ₱ 72.00 ,20%,,,,,,,C.S VISPO,TANAUAN,180-239-753-00001,8444,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,ALBATROSS SINGL LEMON BATHROOM DEODORIZER 475ML,30, ₱ 37.50 ," ₱ 1,125.00 ", ₱ 41.88 ," ₱ 1,256.40 ",, ₱ 131.40 ,10%,,,,,,,WRAP & CARRY,TANAUAN,137-827-797-00000,1555451,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,DOWNY SUNRISE600ML,4, ₱ 158.75 , ₱ 635.00 , ₱ 196.25 , ₱ 785.00 ,, ₱ 150.00 ,19%,,,,,,,,,,,
01/20/2026,042,2026-00026,ASTI,CLEANING MATERIALS,RUBBER GLOVES,4, ₱ 32.00 , ₱ 128.00 , ₱ 59.85 , ₱ 239.40 ,, ₱ 111.40 ,47%,,,,,,,LAM GENERAL MERCH. INC,TANAUAN,776-131-264-00003,9704/0224730,
,,,,,,,,,,," ₱ 9,268.30 ",,,,,,,,,,,,,
01/20/2026,043,OPEN PO ,ITC,CONSUMABLES,STRETCHFILM 3''CORE 20MICRONSX1.8KGSX500MM,11, ₱ 169.00 ," ₱ 1,859.00 ", ₱ 253.50 ," ₱ 2,788.50 ",, ₱ 929.50 ,33%,,1/20/2026,,,,,SYNERGY,,,,
,,,,,,,,,,," ₱ 2,788.50 ",,,,,,,,,,,,,
01/21/2026,044,OPEN PO,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,WELDING ROD 6011 3.2,30, ₱ 230.00 ," ₱ 6,900.00 ", ₱ 270.00 ," ₱ 8,100.00 ",," ₱ 1,200.00 ",15%,,1/21/2026,,,,,GAVINO,,,,
,,,,,,,,,,," ₱ 8,100.00 ",,,,,,,,,,,,,
01/21/2026,045,,UNIPRESIDENT,COMPANY UNIFORM,LABORATORY GOWN WITH EMBROIDERED COMPANY LOGO,6, ₱ 451.00 ," ₱ 2,706.00 ", ₱ 700.00 ," ₱ 4,200.00 ",," ₱ 1,494.00 ",36%,,,,,,,,,,,
,,,,,,,,,,," ₱ 4,200.00 ",,,,,,,,,,,,,
01/21/2026,046,,UNIPRESIDENT,COMPANY UNIFORM,APRON WITH EMBROIDERED COMPANY LOGO,230, ₱ 128.00 ," ₱ 29,440.00 ", ₱ 190.00 ," ₱ 43,700.00 ",," ₱ 14,260.00 ",33%,,,,,,,,,,,
