 DATE,S/N,PO NUMBER,COMPANY,CATEGORY,ITEM,QUANTITY REQUESTED,SUPPLIER'S PRICE,TOTAL ACTUAL AMOUNT,NAM UNIT PRICE,TOTAL NAM AMOUNT,TOTAL NAM AMOUNT SUB TOTAL,INCOME,INCOME PERCENT,,DATE DELIVERED,PAYMENT TERM,DUE DATE,SI NUMBER, REMARKS,SUPPLIER,ADDRESS,TIN,SALES INVOICE NO.,CONTACT PERSON/CONTACT #
01/07/2026,004,SLP-NAM-26-004,ENSLP ,CLEANING MATERIALS,ROUND RAG WHITE,10, ₱ 60.00 , ₱ 600.00 , ₱ 72.00 , ₱ 720.00 ,, ₱ 120.00 ,17%,,01/08/2026,30,02/08/2026,0119,,,,,,
01/07/2026,004,SLP-NAM-26-004,ENSLP ,OFFICE SUPPLY,MARKER PILOT REFILL INK (BLUE),2, ₱ 64.00 , ₱ 128.00 , ₱ 92.00 , ₱ 184.00 ,, ₱ 56.00 ,30%,,01/08/2026,30,02/08/2026,0119,,PAMCO,,,,
01/07/2026,004,SLP-NAM-26-004,ENSLP ,OFFICE SUPPLY,ARCH FILE BLACK,3, ₱ 48.00 , ₱ 144.00 , ₱ 116.38 , ₱ 349.14 ,, ₱ 205.14 ,59%,,01/08/2026,30,02/08/2026,0119,,PAMCO,,,,
01/07/2026,004,SLP-NAM-26-004,ENSLP ,OFFICE SUPPLY,EXPANDABLE FOLDER BLUE LONG,2, ₱ 20.00 , ₱ 40.00 , ₱ 25.00 , ₱ 50.00 ,, ₱ 10.00 ,20%,,01/08/2026,30,02/08/2026,0119,,PAMCO,,,,
01/07/2026,004,SLP-NAM-26-004,ENSLP ,OFFICE SUPPLY,SCISSOR,1, ₱ 26.00 , ₱ 26.00 , ₱ 53.20 , ₱ 53.20 ,, ₱ 27.20 ,51%,,01/08/2026,30,02/08/2026,0119,,PAMCO,,,,
,,,,,,,,,,," ₱ 1,356.34 ",,,,,,,,,,,,,
01/07/2026,005,,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,DN100 GLOVE VALVE,2," ₱ 37,200.00 "," ₱ 74,400.00 "," ₱ 44,032.00 "," ₱ 88,064.00 ",," ₱ 13,664.00 ",16%,,01/07/2026,30 DAYS,,,,,,,,
01/07/2026,005,,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,DN50 WELDED FLANGE 2'',6, ₱ 170.00 ," ₱ 1,020.00 ", ₱ 217.60 ," ₱ 1,305.60 ",, ₱ 285.60 ,22%,,01/07/2026,30 DAYS,,,,,,,,
01/07/2026,005,,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,DN125 WELDED FLANGE 8HOLES,6, ₱ 350.00 ," ₱ 2,100.00 ", ₱ 448.00 ," ₱ 2,688.00 ",, ₱ 588.00 ,22%,,01/07/2026,30 DAYS,,,,,,,,
01/07/2026,005,,SUMOPAK,OFFICE FURNITURE & FIXTURES,DN150 WELDED FLANGE 6'',8, ₱ 465.00 ," ₱ 3,720.00 ", ₱ 595.00 ," ₱ 4,760.00 ",," ₱ 1,040.00 ",22%,,01/07/2026,30 DAYS,,,,,,,,
,,,,,,,,,,," ₱ 96,817.60 ",,,,,,,,,,,,,
01/08/2026,006,,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,BRASS FULL BORE 2 WAY BALL VALVE 1 1/2'',4," ₱ 3,300.00 "," ₱ 13,200.00 "," ₱ 4,480.00 "," ₱ 17,920.00 ",," ₱ 4,720.00 ",26%,,01/08/2026,30 DAYS,,,,,,,,
01/08/2026,006,,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,BRASS FULL BORE 2 WAY BALL VALVE 1 1/4'',4," ₱ 3,000.00 "," ₱ 12,000.00 "," ₱ 3,584.00 "," ₱ 14,336.00 ",," ₱ 2,336.00 ",16%,,01/08/2026,30 DAYS,,,,,,,,
01/08/2026,006,,SUMOPAK,OFFICE TOOLS AND EQUIPMENT,BRASS FULL BORE 2 WAY BALL VALVE 1'',4," ₱ 2,500.00 "," ₱ 10,000.00 "," ₱ 3,072.00 "," ₱ 12,288.00 ",," ₱ 2,288.00 ",19%,,01/08/2026,30 DAYS,,,,,,,,
,,,,,,,,,,," ₱ 44,544.00 ",,,,,,,,,,,,,
01/08/2026,007,,ITC,OFFICE FURNITURE & FIXTURES,TCL 55'',2," ₱ 19,290.00 "," ₱ 38,580.00 "," ₱ 21,999.00 "," ₱ 43,998.00 ",," ₱ 5,418.00 ",12%,,,,,,,,,,,
01/08/2026,007,,ITC,OFFICE FURNITURE & FIXTURES,TCL 24'',2," ₱ 2,890.00 "," ₱ 5,780.00 "," ₱ 3,857.00 "," ₱ 7,714.00 ",," ₱ 1,934.00 ",25%,,,,,,,,,,,
,,,,,,,,,,," ₱ 51,712.00 ",,,,,,,,,,,,,
01/08/2026,008,0009000,SANKO ,OFFICE SUPPLY,SPECIALTY PAPER WORKS 200GSM,9, ₱ 40.00 , ₱ 360.00 , ₱ 53.20 , ₱ 478.80 ,, ₱ 118.80 ,25%,,01/08/2026,30,02/08/2026,0120,,FORMOSA,,,,
01/08/2026,008,0009000,SANKO ,OFFICE SUPPLY,PEN CUTTER,2, ₱ 16.50 , ₱ 33.00 , ₱ 31.25 , ₱ 62.50 ,, ₱ 29.50 ,47%,,,,,,,SHOPEE,,,,
,,,,,,,,,,, ₱ 541.30 ,,,,,,,,,,,,,
01/08/2026,009,PO-00010436,UNIPRESIDENT,MATERIALS,WHITE SAND,1," ₱ 3,600.00 "," ₱ 3,600.00 "," ₱ 5,443.20 "," ₱ 5,443.20 ",," ₱ 1,843.20 ",34%,,,,,,,,,,,
,,,,,,,,,,," ₱ 5,443.20 ",,,,,,,,,,,,,
01/08/2026,010,PO-25120100008,KINPO-FPIP,CONSUMABLES,COLORED ROUND RAGS,20, ₱ 42.00 , ₱ 840.00 , ₱ 50.00 ," ₱ 1,000.00 ",, ₱ 160.00 ,16%,,,,,,,,,,,
