NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
"BUBBLE WRAP PINK WITH ANTI STATIC 40"" X 100",CO,ROLL,BETAFOAM," ₱ 1,250.00 "," ₱ 1,687.50 ",35.00%,,,
CABLE TIE 4X200 (100PCS/PACK),OS,PACK,, ₱ 37.00 , ₱ 49.95 ,35.00%,,,
CABLE TIE 5X300 (100PCS/PACK),OS,PACK,, ₱ 75.00 , ₱ 101.25 ,35.00%,,,
CALCULATOR 12 DIGITS,OS,UNITS,, ₱ 400.00 , ₱ 540.00 ,35.00%,,,
CARBONLESS CONTINUOUS FORM 3P,OS,PC,SHOPEE (HTTPS://SHOPEE.PH/3PLY-CARBONLESS-CONTINUOUS-FORM-9.5-X-11-ALL-WHITE-I.172143276.2705556372), ₱ 849.00 ," ₱ 1,146.15 ",35.00%,,,
CARBONLESS CONTINUOUS FORM 4P,OS,PC,SHOPEE (HTTPS://SHOPEE.PH/4PLY-CARBONLESS-CONTINUOUS-FORM-9.5-X-11-COLORED-I.172143276.2705739096), ₱ 899.00 ," ₱ 1,213.65 ",35.00%,,,
CARD CASE A3,OS, PC ,, ₱ 42.00 , ₱ 56.70 ,35.00%,,,
CARD CASE A4,OS, PC ,, ₱ 22.00 , ₱ 29.70 ,35.00%,,,
CASIO CALCULATOR MX12,OS,PC,PAMCO, ₱ 340.00 , ₱ 452.20 ,33.00%,,,
CERN ALCOHOL 99%,CM,GALLON,, ₱ -   , ₱ -   ,#DIV/0!,,,
CHILLER FUJIDENSO ISU143A3,FF,PC,," ₱ 31,000.00 "," ₱ 38,562.40 ",24.39%,,,
CHIRP WHITEBOARD ERASER,OS,PC,, ₱ 18.00 , ₱ 24.30 ,35.00%,,,
CHOPSTICK (100 PCS/PACK),OS,PACK,SHOPPEE, ₱ -   , ₱ -   ,#DIV/0!,,,
CLEARBOOK A4,OS,UNITS,, ₱ 40.00 , ₱ 54.00 ,35.00%,,,
CLEARBOOK LONG,OS,PC,, ₱ 30.00 , ₱ 39.90 ,33.00%,,,
CLEARBOOK REFILL,OS,BOX,PAMCO, ₱ 85.00 , ₱ 114.75 ,35.00%,,,
CLEARBOOK SHORT,OS,PC,PAMCO, ₱ 25.00 , ₱ 33.75 ,35.00%,,,
CLEARSHEET 9.5IN X 15IN,OS,PC,, ₱ 33.33 , ₱ 45.00 ,35.01%,,,
CLEARSHEET A4,OS,REAM,, ₱ 130.00 , ₱ 175.50 ,35.00%,,,
CLIPBOARD ACCOUNTING LONG,OS,PC,, ₱ 91.00 , ₱ 121.03 ,33.00%,,,
CLIPBOARD ACCOUNTING SHORT,OS,PC,, ₱ 80.00 , ₱ 106.40 ,33.00%,,,
CLIPBOARD HARD PLASTIC LONG,OS,PC,, ₱ 43.00 , ₱ 57.19 ,33.00%,,,
CLIPBOARD HARD PLASTIC SHORT,OS,PC,, ₱ 42.00 , ₱ 55.86 ,33.00%,,,
CLIPBOARD LONG,OS,PC,PAMCO, ₱ 41.00 , ₱ 58.05 ,41.59%,,,
CLIPBOARD SHORT,OS,PC,PAMCO, ₱ 40.00 , ₱ 54.00 ,35.00%,,,
CLUB CARBON PAPER (LONG),OS,PACK,, ₱ 520.00 , ₱ 793.80 ,52.65%,,,
COATED CLIPS NO.33,OS,PC,, ₱ 9.00 , ₱ 12.15 ,35.00%,,,
COIN ENVELOPE NO. 6,OS, BOX ,, ₱ -   , ₱ -   ,#DIV/0!,,,
COMIX,OS,PACK,, ₱ -   , ₱ -   ,#DIV/0!,,,
COOLING MOTOR,MA,PC,," ₱ 41,872.00 "," ₱ 82,866.37 ",97.90%,,,
COPY PAPER A3,OS,REAM,, ₱ 320.00 , ₱ 432.00 ,35.00%,,,
CORRECTION TAPE 8M,OS,PC,, ₱ 18.00 , ₱ 23.94 ,33.00%,,,
CORRECTION TAPE REPLACEMENT TAPE,OS,PC,, ₱ 42.00 , ₱ 56.70 ,35.00%,,,
CORRUGATED BOARD 1040MM X 360MM X 6MM,CO,PC,GGC MARKETING , ₱ 19.00 , ₱ 25.65 ,35.00%,,,
CORRUGATED BOARD 1040MM X 775MM X 6MM,CO,PC,GGC MARKETING , ₱ 35.00 , ₱ 47.25 ,35.00%,,,
CORRUGATED BOARD 775MM X 360MM X 6MM,CO,PC,GGC MARKETING , ₱ 15.50 , ₱ 20.93 ,35.03%,,,
COTTON GLOVES WITH RUBBER,PPE,PC,, ₱ 40.35 , ₱ 61.01 ,51.20%,,,
CUT OF WHEEL,MA,UNIT,, ₱ -   , ₱ -   ,#DIV/0!,,,
CUTTER,OS,PC,, ₱ 24.00 , ₱ 50.00 ,108.33%,,,
CUTTER BIG,OS,PC,, ₱ 10.00 , ₱ 13.50 ,35.00%,,,
CUTTER BLADES 9MM (10 PCS PER PACK),OS,PACK,, ₱ -   , ₱ -   ,#DIV/0!,,,
CUTTER SMALL,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
CUTTING DISC 4'' X 1MM,TE,UNIT,, ₱ 49.75 , ₱ 64.68 ,30.01%,,,
DEFORMED BAR - 12MM,MA,UNIT,, ₱ -   , ₱ -   ,#DIV/0!,,,
DELI DOUBLE-HEAD MARKER,OS,PC,, ₱ 47.25 , ₱ 63.00 ,33.33%,,,
DISH CLOTH TOWEL,CM,UNIT,, ₱ 59.26 , ₱ 80.00 ,35.00%,,,
DN100 GLOVE VALVE,TE,UNIT,," ₱ 37,200.00 "," ₱ 44,032.00 ",18.37%,,,
DN125 WELDED FLANGE 8HOLES,TE,UNIT,, ₱ 350.00 , ₱ 448.00 ,28.00%,,,
DN150 WELDED FLANGE 6'',TE,UNIT,, ₱ 465.00 , ₱ 595.00 ,27.96%,,,
DN50 WELDED FLANGE 2'',TE,UNIT,, ₱ 170.00 , ₱ 217.60 ,28.00%,,,
"DONG A  0.3 (BLUE, BLACK)",OS,PC,PAMCO, ₱ 19.00 , ₱ 25.65 ,35.00%,,,
"DONG A  0.5 (BLUE, BLACK, RED)",OS,PC,PAMCO, ₱ 17.50 , ₱ 23.63 ,35.03%,,,
"DONG A FINETECH 0.3 ( BLACK, RED )",OS, PC ,, ₱ 24.00 , ₱ 39.90 ,66.25%,,,
"DONG A MY GEL 0.3 ( BLACK, BLUE )",OS,PC,, ₱ 20.00 , ₱ 26.60 ,33.00%,,,
"DONG A MY GEL 0.5 ( BLACK, BLUE, RED )",OS, PC ,, ₱ 19.00 , ₱ 25.27 ,33.00%,,,
DOUBLE SIDED ADHESIVE TAPE ROLLER,OS,PC,, ₱ 54.00 , ₱ 72.90 ,35.00%,,,
DOUBLE SIDED ADHESIVE TAPE ROLLER 4 PIECES PER PACK,OS,PACK,, ₱ 170.00 , ₱ 229.50 ,35.00%,,,
"DOUBLE SIDED TAPE 1"" CROCO",OS,ROLL,, ₱ 20.00 , ₱ 26.60 ,33.00%,,,
"DOUBLE SIDED TAPE 1/2"" X 10M CROCO",OS,ROLL,, ₱ 11.00 , ₱ 14.85 ,35.00%,,,
DOUBLE SIDED TAPE 3/4 CROCO,OS,ROLL,, ₱ 23.00 , ₱ 31.00 ,34.78%,,,
DOUBLE SIDED TAPE FOAM,OS,ROLL,, ₱ 64.00 , ₱ 86.40 ,35.00%,,,
DOUBLE SIDED TAPE INDOOR MOUNTING TAPE,OS,ROLL,, ₱ 180.00 , ₱ 261.90 ,45.50%,,,
DOUBLE SIDED TAPE KING 1 INCH,OS,ROLL,, ₱ 19.00 , ₱ 25.65 ,35.00%,,,
"DOUBLE SIDED TAPE WITH FOAM 1""",OS,ROLL,, ₱ 64.00 , ₱ 86.40 ,35.00%,,,
