NAM SUPPLY,,,,,,,,,
PRODUCT,CATEGORY,UNIT,SUPPLIER,SUPPLIER PRICE,NAM PRICE,MARGIN,,CATEGORY,
LAMINATING FILM A3,OS, REAM ,, ₱ 950.00 ," ₱ 1,282.50 ",35.00%,,,
LAMINATING FILM A4,OS, REAM ,PAMCO, ₱ 460.00 , ₱ 675.00 ,46.74%,,,
LAMINATING FILM A4 125 MIC,OS,PACK,, ₱ 490.00 , ₱ 651.70 ,33.00%,,,
LAMINATING FILM ID,OS,PACK,, ₱ 130.00 , ₱ 175.50 ,35.00%,,,
LAMINATING FILM ID SIZE 65X95 250MIC,OS,PACK,, ₱ 110.00 , ₱ 146.30 ,33.00%,,,
LAMINATING FILM ID SIZE LCT BRAND,OS, REAM ,, ₱ -   , ₱ -   ,#DIV/0!,,,
LAMINATING FILM ID SIZE TIGER HEAD BRAND,OS, REAM ,PAMCO, ₱ 100.00 , ₱ 135.00 ,35.00%,,,
LASERCOPY A4,OS,REAM,, ₱ -   , ₱ -   ,#DIV/0!,,,
"LCT STAMP PAD INK 30ML (BLACK, BLUE)",OS,BOTTLE,, ₱ 20.00 , ₱ 27.00 ,35.00%,,,
LEVER ARCH FILE 9.5INCH X 15 INCH (BLACK),OS,PC,, ₱ 150.00 , ₱ 202.50 ,35.00%,,,
LEVER ARCH FILE A4 (BLACK),OS,PC,, ₱ 120.00 , ₱ 162.00 ,35.00%,,,
LOGITECH K120+8100 WIRELESS KEYBOARD AND MOUSE (BLACK),OS,PAIR,PC EXPRESS, ₱ 650.00 , ₱ 877.50 ,35.00%,,,
LONG EXPANDABLE FOLDER (GREEN),OS,PC,, ₱ 13.00 , ₱ 20.25 ,55.77%,,,
LONG TUBE CLEANING BRUSH 5 PIECES,CM,PACK,, ₱ 55.00 , ₱ 74.25 ,35.00%,,,
LONGSLEEVE SHIRT BLUE FREESIZE,CU,PC,SHOPEE, ₱ 125.00 , ₱ 168.75 ,35.00%,,,
LYSOL PINK,CM,GALLON,, ₱ 255.00 , ₱ 344.47 ,35.09%,,,
M&G 0.5 BALLPEN 50S (BLACK),OS,PC,, ₱ 622.22 , ₱ 840.00 ,35.00%,,,
MARKER PILOT REFILL INK (BLUE),OS,PC,, ₱ 64.00 , ₱ 92.00 ,43.75%,,,
"MASKING TAPE 1""",OS,ROLL,, ₱ 32.00 , ₱ 47.25 ,47.66%,,,
MATRIX RIBBON REFILL,OS, PC ,, ₱ -   , ₱ -   ,#DIV/0!,,,
MAX STAPLE WIRE #35,OS, BOX ,, ₱ -   , ₱ -   ,#DIV/0!,,,
MAXELL ALCALINE BATTERY 1.5V LR1130/189 (ROUND BATTERY),CO,PC,, ₱ 47.25 , ₱ 63.79 ,35.00%,,,
MAXELL CR1220 LITHIUM 3V BATTERY (5 PIECES),CO,PACK,SHOPEE (HTTPS://SHOPEE.PH/MAXELL-CR1220-LITHIUM-3V-BATTERY-ORIGINAL-I.1076877712.22081373068?), ₱ 150.00 , ₱ 202.50 ,35.00%,,,
MECHANICAL PENCIL,OS,PC,, ₱ 70.00 , ₱ 94.50 ,35.00%,,,
MECHANICAL PENCIL REFILL LEADS,OS,PACK,, ₱ 50.00 , ₱ 67.50 ,35.00%,,,
MEDIUM PLASTIC TUPPERWARE CLEAR,CM,PC,, ₱ 59.26 , ₱ 80.00 ,35.00%,,,
METAL FASTENER LONG,OS,BOX,FORMOSA, ₱ 150.00 , ₱ 202.50 ,35.00%,,,
METAL FASTENER SHORT,OS,BOX,FORMOSA, ₱ 45.00 , ₱ 60.75 ,35.00%,,,
"METAL RULER 12""",OS, PC ,, ₱ 30.00 , ₱ 39.90 ,33.00%,,,
METAL STACKABLE TRAY (3 LAYER) ,OS,PC,SHOPEE (HTTPS://SHOPEE.PH/METAL-TRAY-DESK-ORGANIZER-(LEGAL-SIZE)-2-3-LAYER-I.294789415.18691324982?)," ₱ 1,200.00 "," ₱ 1,620.00 ",35.00%,,,
MIMEO PAPER (480 SHEETS) NEWSPRINT LETTER SIZE,OS,REAM,, ₱ -   , ₱ -   ,#DIV/0!,,,
MONGOL PENCIL NO. 2,OS, PC ,, ₱ 11.25 , ₱ 15.19 ,35.02%,,,
MONGOL PENCIL NO. 2 PER BOX,OS,BOX,, ₱ 112.50 , ₱ 151.88 ,35.00%,,,
MOP WITH HANDLE,CM,PC,, ₱ 95.00 , ₱ 125.00 ,31.58%,,,
MOTOLITE BATTERY,MA,PC,," ₱ 6,000.00 "," ₱ 7,200.00 ",20.00%,,,
NAM BUILDERS NEWSPRINT  SHORT,OS,REAM,, ₱ 82.00 , ₱ 109.06 ,33.00%,,,
NAM BUILDERS NEWSPRINT A4,OS,REAM,, ₱ 84.00 , ₱ 113.40 ,35.00%,,,
"NAPPCO COLORED PAPER A4 80GSM 500 SHEETS (BLUE, GREEN, YELLOW)",OS,REAM,, ₱ 345.00 , ₱ 500.00 ,44.93%,,,
NEW FEDERAL ALCOHOL 70%,CM,GALLON,, ₱ -   , ₱ -   ,#DIV/0!,,,
NEWSPRINT (VAN HAWK) SHORT,OS,REAM,, ₱ -   , ₱ -   ,#DIV/0!,,,
NEWSPRINT A4,OS,REAM,, ₱ 84.00 , ₱ 111.72 ,33.00%,,,
NEWSPRINT SHORT,OS,REAM,, ₱ 82.00 , ₱ 109.06 ,33.00%,,,
NOTEBOOK SPIRAL,OS,PC,, ₱ 13.80 , ₱ 18.63 ,35.00%,,,
ORDINARY COTTON GLOVES,PPE,PC,, ₱ 30.35 , ₱ 45.89 ,51.20%,,,
ORDINARY PLASTIC FASTENER,OS,PC,, ₱ 32.00 , ₱ 43.20 ,35.00%,,,
OREX FACE MASK,OS,BOX,, ₱ -   , ₱ -   ,#DIV/0!,,,
"ORION RULER 12""",OS, PC ,, ₱ 48.00 , ₱ 63.84 ,33.00%,,,
ORIONS PLASTIC RULER,OS,PC,, ₱ 45.00 , ₱ 60.75 ,35.00%,,,
PACKAGING TAPE (SYNERGY),OS,ROLL,, ₱ 37.00 , ₱ 51.87 ,40.19%,,,
"PACKAGING TAPE 2""",OS,ROLL,, ₱ 40.00 , ₱ 53.20 ,33.00%,,,
"PACKAGING TAPE 2"" KING",OS,ROLL,, ₱ 33.00 , ₱ 44.55 ,35.00%,,,
"PACKAGING TAPE 2"" X 100 50U",CO,ROLL,ZOIERAIN, ₱ 31.00 , ₱ 41.85 ,35.00%,,,
"PACKAGING TAPE 2"" X 50 50U",CO,ROLL,ZOIERAIN, ₱ 18.00 , ₱ 24.30 ,35.00%,,,
"PACKAGING TAPE 3"" CLEAR",OS,ROLL,, ₱ 22.00 , ₱ 29.70 ,35.00%,,,
"PACKAGING TAPE 3"" X 100 45U",CO,ROLL,ZOIERAIN, ₱ 43.00 , ₱ 58.05 ,35.00%,,,
"PACKAGING TAPE 3"" X 100 50U",CO,ROLL,ZOIERAIN, ₱ 44.00 , ₱ 59.40 ,35.00%,,,
"PACKAGING TAPE 3"" X 50 45U",CO,ROLL,ZOIERAIN, ₱ 21.50 , ₱ 29.03 ,35.02%,,,
"PACKAGING TAPE 3"" X 50 50U",CO,ROLL,ZOIERAIN, ₱ 22.00 , ₱ 29.70 ,35.00%,,,
PACKAGING TAPE 3X100 CLEAR,OS,ROLL,, ₱ 44.00 , ₱ 59.40 ,35.00%,,,
"PACKING TAPE 2"" X 50M (BROWN)",CO,ROLL,, ₱ 140.00 , ₱ 189.00 ,35.00%,,,
"PAINT MARKER 2.3MM TIP (BLACK, WHITE)",OS,PC,, ₱ 10.00 , ₱ 12.50 ,25.00%,,,
PANASONIC BATTERY AA (4PCS/PACK),OS,PACK,, ₱ 88.00 , ₱ 118.80 ,35.00%,,,
PANASONIC BATTERY AAA (2PCS/PACK),OS,PACK,, ₱ 56.00 , ₱ 75.60 ,35.00%,,,
PANASONIC LITHIUM BATTERY 3V CR2430 (ROUND BATTERY),OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
"PANDA 757 (BLACK, BLUE, RED)",OS,PC,PAMCO, ₱ 4.50 , ₱ 6.08 ,35.00%,,,
"PANDA CLASSIC (BLACK, BLUE, RED)",OS,PC,PAMCO, ₱ 4.30 , ₱ 5.81 ,35.00%,,,
PAPER CLIP BIG,OS,BOX,, ₱ 19.00 , ₱ 25.27 ,33.00%,,,
PAPER CLIP SMALL,OS,BOX,, ₱ 9.00 , ₱ 11.97 ,33.00%,,,
PAPER ONE A3,OS,REAM,, ₱ 310.00 , ₱ 412.30 ,33.00%,,,
PAPER ONE F4 (BONDPAPER),OS,REAM,, ₱ -   , ₱ -   ,#DIV/0!,,,
PAPER ONE QTO (BONDPAPER),OS,REAM,, ₱ -   , ₱ -   ,#DIV/0!,,,
PE FOAM WHITE 1040MM X 775MM X 6MM,CO,PC,ZOIERAIN, ₱ 51.00 , ₱ 68.85 ,35.00%,,,
PE FOAM WHITE 775MM X 360MM X 6MM,CO,PC,ZOIERAIN, ₱ 40.00 , ₱ 54.00 ,35.00%,,,
PEN CUTTER,OS,PC,, ₱ 16.50 , ₱ 31.25 ,89.39%,,,
PENCIL MONGOL NO. 2,OS,BOX,, ₱ 96.00 , ₱ 120.00 ,25.00%,,,
PERMANENT TWIN MARKER (BLACK),OS,PC,, ₱ 10.00 , ₱ 12.50 ,25.00%,,,
PETTY CASH VOUCHER,OS,PAD,, ₱ 6.00 , ₱ 8.10 ,35.00%,,,
"PILOT BROAD MARKER (BLACK, BLUE)",OS,PC,FORMOSA, ₱ 30.00 , ₱ 40.50 ,35.00%,,,
"PILOT MARKER FINE (BLACK, BLUE, RED)",OS,PC,FORMOSA, ₱ 30.00 , ₱ 40.50 ,35.00%,,,
PILOT MARKER INK BLACK,OS,BOTTLE,, ₱ 64.00 , ₱ 86.40 ,35.00%,,,
PILOT MECHANICAL PEN SUPER GRIP 0.5,OS,PC,, ₱ 70.00 , ₱ 94.50 ,35.00%,,,
PILOT MECHANICAL PEN SUPER GRIP 0.5 LEAD (REFILL ONLY),OS,PACK,, ₱ 50.00 , ₱ 67.50 ,35.00%,,,
"PILOT PERMANENT MARKER (BLACK, RED, BLUE)",OS,PC,, ₱ 35.00 , ₱ 40.57 ,15.91%,,,
"PILOT WHITEBOARD MARKER (BLACK, BLUE, RED)",OS,PC,, ₱ 50.00 , ₱ 67.50 ,35.00%,,,
PLASTIC BEAKER 200ML,TE,PC,, ₱ 97.78 , ₱ 132.00 ,35.00%,,,
PLASTIC BEAKER 300ML,TE,PC,, ₱ 107.41 , ₱ 145.00 ,35.00%,,,
PLASTIC ENVELOPE EXPANDABLE LONG,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
PLASTIC ENVELOPE LONG,OS,PC,, ₱ 13.41 , ₱ 16.50 ,23.00%,,,
PLASTIC ENVELOPE SHORT,OS,PC,, ₱ 8.05 , ₱ 9.90 ,23.00%,,,
PLASTIC FASTENER,OS,PC,PAMCO, ₱ 30.00 , ₱ 40.50 ,35.00%,,,
PLASTIC FOLDER LONG (CLEAR) FOR WHITE FOLDER COVER,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
PLASTIC FOLDER LONG WHITE,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
"PLASTIC FOLDER SHORT (BLACK, BLUE, WHITE, YELLOW)",OS,PC,, ₱ 7.00 , ₱ 9.45 ,35.00%,,,
PLASTIC L-TYPE FOLDER LONG (BLUE),OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
PLASTIC RULER JOY,OS,PC,, ₱ 4.00 , ₱ 5.40 ,35.00%,,,
PLASTIC RULER ORIONS,OS,PC,, ₱ 45.00 , ₱ 60.75 ,35.00%,,,
"PLASTIC SLIDING FOLDER LONG (CLEAR, BLUE, GREEN)",OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
PLASTIC TRAY 3 LAYERS,OS,PC,, ₱ 250.00 , ₱ 337.50 ,35.00%,,,
PLYWOOD ORDINARY SINGLE PHASE 1/4,MA,UNIT,, ₱ -   , ₱ -   ,#DIV/0!,,,
POCKET NOTES,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
"POLOSHIRT LARGE (AQUA BLUE, GRAY)",CU,PC,3A'S WEARING APPAREL, ₱ 114.00 , ₱ 153.90 ,35.00%,,,
"POLOSHIRT MEDIUM (AQUA BLUE, GRAY)",CU,PC,3A'S WEARING APPAREL, ₱ 109.00 , ₱ 147.15 ,35.00%,,,
"POLOSHIRT SMALL (AQUA BLUE, GRAY)",CU,PC,3A'S WEARING APPAREL, ₱ 104.00 , ₱ 140.40 ,35.00%,,,
POLOSHIRT XL (GRAY),CU,PC,3A'S WEARING APPAREL, ₱ 119.00 , ₱ 160.65 ,35.00%,,,
POST IT - SIGN HERE 25.4MMX43.2MM,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
POWDER DETERGENT (MIGHTY),CM,KG,, ₱ 50.00 , ₱ 67.50 ,35.00%,,,
POWDER DETERGENT (PRIDE),CM,KG,, ₱ 102.00 , ₱ 137.70 ,35.00%,,,
POWDER DETERGENT (PRIDE) POWER WASH 1KG,CM,KG,, ₱ 98.50 , ₱ 122.50 ,24.37%,,,
POWDER DETERGENT 1 KG,CM,KG,, ₱ 48.00 , ₱ 64.80 ,35.00%,,,
POWDER DETERGENT 2 KG,CM,KG,, ₱ 192.00 , ₱ 229.00 ,19.27%,,,
POWERHOUSE HEAVY DUTY AUTO DARKENING MASK,PPE,PC,," ₱ 1,893.00 "," ₱ 3,469.97 ",83.31%,,,
"PP STRAP 15MM X 2500M ( GREEN, YELLOW )",CO,ROLL,SYNERGY," ₱ 1,500.00 "," ₱ 2,025.00 ",35.00%,,,
PUMP BOTTLE,CM,PC,, ₱ 35.00 , ₱ 43.75 ,25.00%,,,
PUNCHER 1 SLOT,OS,PC,PAMCO, ₱ 360.00 , ₱ 486.00 ,35.00%,,,
PUNCHER BIG 2 HOLE,OS,PC,, ₱ 229.50 , ₱ 378.00 ,64.71%,,,
PUSH PIN,OS,BOX,, ₱ 20.00 , ₱ 26.60 ,33.00%,,,
"PVC PIPE ORANGE - 4""",MA,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
RAGS COLORED,CO,KG,, ₱ 40.00 , ₱ 54.00 ,35.00%,,,
RAGS WHITE,CO,KG,, ₱ 50.00 , ₱ 67.50 ,35.00%,,,
RECORD BOOK 300PGS,OS, PC ,, ₱ 45.00 , ₱ 59.85 ,33.00%,,,
RECORD BOOK 500PGS,OS, PC ,, ₱ 68.00 , ₱ 90.44 ,33.00%,,,
REFLECTORIZED LONG SLEEVES,CU,PC,, ₱ 193.00 , ₱ 260.00 ,34.72%,,,
REFLECTORIZED TAPE (YELLOW) 30M,PPE,ROLL,, ₱ 238.52 , ₱ 322.00 ,35.00%,,,
REFLECTORIZED VEST,PPE,PC,, ₱ 43.20 , ₱ 58.32 ,35.00%,,,
RESPIRATORY MASK FILTER,PPE,PC,, ₱ 295.35 , ₱ 446.57 ,51.20%,,,8.9314
REWRITE CORRECTION TAPE 6M,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
ROBOTIC CLEANER,CM,PC,," ₱ 29,999.00 "," ₱ 32,944.00 ",9.82%,,,
ROCK GOLDEN SAFETY SHOES,PPE,PC,SACRAMENTO, ₱ 400.00 , ₱ 540.00 ,35.00%,,,
ROUND MOP RAGS,CM,PC,, ₱ 190.00 , ₱ 256.50 ,35.00%,,,
"ROUND NECK SHIRT LARGE (AQUA BLUE, GRAY)",CU,PC,3A'S WEARING APPAREL, ₱ 96.00 , ₱ 129.60 ,35.00%,,,
"ROUND NECK SHIRT MEDIUM (AQUA BLUE, GRAY)",CU,PC,3A'S WEARING APPAREL, ₱ 91.00 , ₱ 122.85 ,35.00%,,,
"ROUND NECK SHIRT SMALL (AQUA BLUE, GRAY)",CU,PC,3A'S WEARING APPAREL, ₱ 86.00 , ₱ 116.10 ,35.00%,,,
ROUND NECK SHIRT XL (AQUA BLUE),CU,PC,3A'S WEARING APPAREL, ₱ 101.00 , ₱ 136.35 ,35.00%,,,
ROUND NECK SHIRT XXL (AQUA BLUE),CU,PC,3A'S WEARING APPAREL, ₱ 106.00 , ₱ 143.10 ,35.00%,,,
ROUND RAGS COLORED,CO,KG,, ₱ 52.00 , ₱ 82.00 ,57.69%,,,
ROUND RAGS WHITE,CO,KG,, ₱ 60.00 , ₱ 87.75 ,46.25%,,,
RUBBER GLOVES,PPE,PC,, ₱ 44.33 , ₱ 59.85 ,35.01%,,,
SAFETY BOY BLACK SAFETY SHOES,PPE,ROLL,," ₱ 1,600.00 "," ₱ 2,419.20 ",51.20%,,,
SAFETY BOY BROWN SAFETY SHOES,PPE,ROLL,," ₱ 1,600.00 "," ₱ 2,419.20 ",51.20%,,,
SAFETY EAR MUFF,PPE,ROLL,, ₱ 95.35 , ₱ 144.17 ,51.20%,,,
SAFETY VEST,PPE,PC,, ₱ 416.00 , ₱ 416.00 ,0.00%,,,
SAFEWELL ALCOHOL 70%,CM,GALLON,, ₱ 220.00 , ₱ 247.00 ,12.27%,,,
SANDISK 32GB,OS,PC,, ₱ 270.00 , ₱ 359.10 ,33.00%,,,
SANDISK 64GB,OS,PC,, ₱ 480.00 , ₱ 638.40 ,33.00%,,,
"SCISSOR 8""",OS,PC,, ₱ 28.00 , ₱ 37.24 ,33.00%,,,
SCISSOR BLACK,OS,PC,, ₱ 26.00 , ₱ 32.50 ,25.00%,,,
SCISSORS,OS,PC,, ₱ 40.00 , ₱ 54.00 ,35.00%,,,
SCOTCH BRITE WITH FOAM,CM,PC,, ₱ 60.00 , ₱ 81.00 ,35.00%,,,
SCOTCH BRITE WITHOUT FOAM,CM,PC,, ₱ 32.00 , ₱ 44.44 ,38.88%,,,
SCOTCH TAPE 1,OS,PC,, ₱ 15.00 , ₱ 20.25 ,35.00%,,,
SCOTCH TAPE 1 INCH (KING TAPE),OS,PC,, ₱ 14.00 , ₱ 18.90 ,35.00%,,,
SCOTCH TAPE 3/4X25MM,OS,PC,, ₱ 12.00 , ₱ 16.20 ,35.00%,,,
SCOURING PAD,CM,PC,, ₱ 1.50 , ₱ 2.03 ,35.00%,,,
SDI CORRECTION REPLACEMENT TAPE 5MM*6M,OS,PC,, ₱ 95.00 , ₱ 128.25 ,35.00%,,,
SDI CORRECTION TAPE 5MM*6M,OS,PC,, ₱ 125.00 , ₱ 168.75 ,35.00%,,,
SDI CUTTER BLADE,OS,PC,, ₱ 279.00 , ₱ 380.00 ,36.20%,,,
SDI CUTTER BLADES 9MM (10 PCS/PACK),OS,PACK,, ₱ -   , ₱ -   ,#DIV/0!,,,
"SHARPIE PERMANENT MARKER (BLACK, BLUE)",OS,PC,, ₱ 44.00 , ₱ 58.52 ,33.00%,,,
"SHARPIE PERMANENT MARKER FINE (BLACK, BLUE)",OS,PC,, ₱ 42.00 , ₱ 56.70 ,35.00%,,,
SHORT WHITE MAILING ENVELOPE (50 PCS / PACK),OS,PACK,ONLINE, ₱ 44.00 , ₱ 59.40 ,35.00%,,,
"SLIDING FOLDER CLEAR FILE COVER A4 (BLACK, RED)",OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
"SLIDING FOLDER CLEAR FILE LONG (BLUE, GREEN, ORANGE, RED, YELLOW)",OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
SMALL TORNADO MOP REFILL,CM,PC,, ₱ 60.00 , ₱ 81.00 ,35.00%,,,
SMARTIST A11 BONDPAPER SHORT,OS,REAM,, ₱ -   , ₱ -   ,#DIV/0!,,,
SMARTIST A4 BONDPAPER,OS,REAM,, ₱ 152.00 , ₱ 187.00 ,23.03%,,,
SMARTIST F4 BONDPAPER,OS,REAM,, ₱ 172.60 , ₱ 212.30 ,23.00%,,,
SMARTIST LONG BONDPAPER,OS,REAM,, ₱ 172.00 , ₱ 207.76 ,20.79%,,,
SMARTIST SHORT BONDPAPER,OS,REAM,, ₱ 146.00 , ₱ 170.00 ,16.44%,,,
SMITH ALL METAL PACKAGING TAPE DISPENSER,OS,PC,, ₱ 80.00 , ₱ 170.00 ,112.50%,,,
SNOWMAN COATED CLIPS #33MM,OS,BOX,, ₱ 80.00 , ₱ 108.00 ,35.00%,,,
SNOWMAN COATED CLIPS #50MM,OS,BOX,, ₱ -   , ₱ -   ,#DIV/0!,,,
SNOWMAN PUNCHER 2 HOLES,OS,PC,PAMCO, ₱ 120.00 , ₱ 162.00 ,35.00%,,,
SNOWMAN PUSH PIN 100 PIECES PER PACK,OS,PC,, ₱ 20.00 , ₱ 27.00 ,35.00%,,,
SPECIALTY PAPER WORKS 200GSM,OS,PACK,, ₱ 40.00 , ₱ 53.20 ,33.00%,,,
SPIRAL NOTEBOOK,OS, PC ,, ₱ 13.00 , ₱ 17.29 ,33.00%,,,
SPONGE SCOURING PAD WITH FOAM,CM,PC,, ₱ 5.75 , ₱ 4.76 ,-17.17%,,,
SPRINTER SHOES,PPE,PC,, ₱ 220.00 , ₱ 281.00 ,27.73%,,,
"STABILO MARKER (BLUE, GREEN, ORANGE, YELLOW, VIOLET)",OS,PC,PAMCO, ₱ 33.00 , ₱ 44.55 ,35.00%,,,
STAMP INK (BLACK),OS,PC,, ₱ 20.00 , ₱ 25.00 ,25.00%,,,
STAMP INK (RED),OS,PC,, ₱ 17.00 , ₱ 21.25 ,25.00%,,,
STAMP PAD INK (BLACK),OS,PC,, ₱ 20.00 , ₱ 25.00 ,25.00%,,,
"STAMP PAD INK (BLUE, RED)",OS,PC,, ₱ 17.00 , ₱ 22.95 ,35.00%,,,
"STAMP PAD NO. 2 (BLUE, RED, VIOLET)",OS,PC,PAMCO, ₱ 28.00 , ₱ 37.24 ,33.00%,,,
STAMP PAD NO. 3 (BLUE),OS,PC,PAMCO, ₱ 28.00 , ₱ 37.24 ,33.00%,,,
STAPLE NO. 10,OS,PC,, ₱ 20.00 , ₱ 28.25 ,41.25%,,,
STAPLE WIRE NO. 35,OS,PC,, ₱ 25.00 , ₱ 33.75 ,35.00%,,,
STAPLE WIRE NO. 35 MAX,OS,PC,, ₱ 47.50 , ₱ 63.18 ,33.01%,,,
STAPLE WIRE NO. 35 TIGER,OS,PC,, ₱ 22.00 , ₱ 32.40 ,47.27%,,,
STAPLER,OS,PC,, ₱ 60.00 , ₱ 75.00 ,25.00%,,,
STAPLER WITH REMOVER,OS,PC,, ₱ 77.00 , ₱ 103.95 ,35.00%,,,
STEP DOWN TRANSFORMER 220V TO 110V,TE,PC,LAZADA (HTTPS://WWW.LAZADA.COM.PH/PRODUCTS/GOLDSOURCE-TRANSFORMER-STEP-UP-STEP-DOWN-110V-220V-I2949390368-S14397361780.HTML?), ₱ 585.00 , ₱ 789.75 ,35.00%,,,
STERLING SPIRAL NOTEBOOK,OS,PC,, ₱ 99.00 , ₱ 133.65 ,35.00%,,,
STICKER PAPER GREEN,OS,PC,, ₱ 41.00 , ₱ 44.40 ,8.29%,,,
STICKER PAPER MATTE A4,OS, PACK ,, ₱ 37.00 , ₱ 49.21 ,33.00%,,,
STICKER PAPER WORKS A4 (NOT GLOSSY),OS,PACK,, ₱ 55.00 , ₱ 74.25 ,35.00%,,,
STICKER REMOVER 450ML,CM,PC,, ₱ 220.00 , ₱ 297.00 ,35.00%,,,
STICKY MAT,PPE, PACK ,, ₱ 36.45 , ₱ 49.21 ,35.01%,,,
STICKY NOTE 3X2,OS, PC ,, ₱ 12.00 , ₱ 15.96 ,33.00%,,,
STICKY NOTE 3X3,OS, PC ,, ₱ 15.00 , ₱ 20.25 ,35.00%,,,
STICKY NOTE 3X5,OS, PC ,, ₱ 24.00 , ₱ 31.92 ,33.00%,,,
STICKY PAD,OS,PC,, ₱ -   , ₱ -   ,#DIV/0!,,,
"STRETCH FILM 17U X 500MM X 1.8KG 2"" CORE",CO,ROLL,SYNERGY, ₱ 180.00 , ₱ 243.00 ,35.00%,,,
"STRETCH FILM 17U X 500MM X 1.8KG 3"" CORE",CO,ROLL,SYNERGY, ₱ 169.00 , ₱ 228.15 ,35.00%,,,
"STRETCH FILM 17U X 500MM X 2.08KGS 3""CORE",CO,ROLL,SYNERGY, ₱ 199.00 , ₱ 268.65 ,35.00%,,,
"STRETCH FILM 17U X 500MM X 3.5KG 2"" CORE",CO,ROLL,SYNERGY, ₱ 366.00 , ₱ 494.10 ,35.00%,,,
"STRETCH FILM 17U X 500MM X 3.5KG 3"" CORE",CO,ROLL,SYNERGY, ₱ 353.00 , ₱ 476.55 ,35.00%,,,
"STRETCH FILM 17U X 500MM X 5KG 2"" CORE",CO,ROLL,RSIM, ₱ 493.00 , ₱ 665.55 ,35.00%,,,
"STRETCH FILM 20U X 500MM X 1.8KG 2"" CORE",CO,ROLL,SYNERGY, ₱ 180.00 , ₱ 243.00 ,35.00%,,,
"STRETCH FILM 20U X 500MM X 1.8KG 3"" CORE",CO,ROLL,SYNERGY, ₱ 169.00 , ₱ 228.15 ,35.00%,,,
"STRETCH FILM 20U X 500MM X 3.5KG 2"" CORE",CO,ROLL,SYNERGY, ₱ 366.00 , ₱ 494.10 ,35.00%,,,
"STRETCH FILM 20U X 500MM X 3.5KG 3"" CORE",CO,ROLL,SYNERGY, ₱ 353.00 , ₱ 476.55 ,35.00%,,,
"STRETCH FILM 20U X 500MM X 4.5KGS 3""CORE",CO,ROLL,SYNERGY, ₱ 457.00 , ₱ 616.95 ,35.00%,,,
"STRETCH FILM 20U X 500MM X 5KG 2"" CORE",CO,ROLL,RSIM, ₱ 493.00 , ₱ 665.55 ,35.00%,,,
STYRO FOAM 1040MM X 775MM X 10MM,CO,PC,GRASYA VIBER, ₱ 120.00 , ₱ 162.00 ,35.00%,,,
STYRO FOAM 775MM X 360MM X 10MM,CO,PC,GRASYA VIBER, ₱ 65.00 , ₱ 87.75 ,35.00%,,,
SUS304 ROUND HEAD SCREW M3*10,TE,PC,, ₱ 2.17 , ₱ 3.82 ,76.21%,,,
SUS304 ROUND HEAD SCREW M3*12,TE,PC,, ₱ 2.45 , ₱ 4.02 ,64.08%,,,
TABO,CM,PC,, ₱ 25.00 , ₱ 31.25 ,25.00%,,,
TAPE DISPENSER,OS,PC,, ₱ 77.00 , ₱ 96.25 ,25.00%,,,
TAPE DISPENSER BIG,OS,PC,, ₱ 80.00 , ₱ 106.40 ,33.00%,,,
TCL 24'',FF,PC,," ₱ 2,890.00 "," ₱ 3,857.00 ",33.46%,,,
TCL 55'',FF,PC,," ₱ 19,290.00 "," ₱ 21,999.00 ",14.04%,,,
TIGER STAPLE WIRE #35, OS , BOX ,, ₱ 22.00 , ₱ 29.70 ,35.00%,,,
TISSUE ROLL JUMBO,CM,ROLL,, ₱ 154.07 , ₱ 208.00 ,35.00%,,,
"TITUS BALLPEN (BLUE, RED)",OS,PC,, ₱ 75.00 , ₱ 101.25 ,35.00%,,,
TITUS BALLPEN 12 PIECES PER BOX,OS,BOX,, ₱ 270.00 , ₱ 364.50 ,35.00%,,,
TOILET BRUSH,CM,PC,, ₱ 95.00 , ₱ 125.00 ,31.58%,,,
TONKITA MAGIC SPONGE (2 PCS/BOX), OS ,BOX,, ₱ -   , ₱ -   ,#DIV/0!,,,
TOP BRIGHT DISHWASHING LIQUID,CM,GALLON,, ₱ 130.00 , ₱ 176.00 ,35.38%,,,
TOP BRIGHT DISHWASHING LIQUID PREMIUM,CM,GALLON,SABON STATION, ₱ 100.00 , ₱ 135.00 ,35.00%,,,
TORNADO MOP REFILL SMALL,CO,PC,, ₱ 60.00 , ₱ 81.00 ,35.00%,,,
UGREEN-HD 101/10129 HDMI MALE TO MALE 2M CABLE (BLACK), OS ,PC,PC EXPRESS, ₱ 219.00 , ₱ 295.00 ,34.70%,,,
